session,paper_id,paper_title,author_order,author_name,author_affil_ids,author_is_eca,affiliations_resolved
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,17,H. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,18,S-G. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,19,M. Choi,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,20,S. Je,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,21,J. Ham,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,22,J. Yoon,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,23,Y. F. Arthanto,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,24,S-I. Bae,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,25,S. Park,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,26,J. Lee,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,27,H. Chae,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,28,K. Ryu,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,29,Y. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,30,J-O. Seo,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,31,N. Cho,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,32,T. Jeon,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,33,G. Ahn,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,34,M. Ki,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,35,J. Choi,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,36,S. Baek,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,37,D. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,38,J. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,39,S. Kang,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,40,S. Son,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,41,M. Kim,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,42,Y. Choe,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,43,Y. Lee,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,44,S. Park,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.2,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s DS1 UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,45,J. Oh,,False,"Rebellions, Seongnam, Korea"
SESSION 2,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible D S 1 Heterogeneous Core Orchestration via Sparsity Reasoning,1,J. Jung,"1,2",True,"Ulsan National Institute of Science and Technology, Ulsan, Korea | Yonsei University, Seoul, Korea"
SESSION 2,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible D S 1 Heterogeneous Core Orchestration via Sparsity Reasoning,2,S. Lee,1,True,"Ulsan National Institute of Science and Technology, Ulsan, Korea"
SESSION 2,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible D S 1 Heterogeneous Core Orchestration via Sparsity Reasoning,3,J. Yoo,2,False,"Yonsei University, Seoul, Korea"
SESSION 2,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible D S 1 Heterogeneous Core Orchestration via Sparsity Reasoning,4,G. Yun,2,False,"Yonsei University, Seoul, Korea"
SESSION 2,2.3,A 71.3mJ/Frame End-to-End Driving Processor with Flexible D S 1 Heterogeneous Core Orchestration via Sparsity Reasoning,5,K. J. Lee,2,False,"Yonsei University, Seoul, Korea"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,1,S. Yun,"1,2",False,"Korea Advanced Institute of Science and Technology, Daejeon, Korea | Pohang University of Science and Technology, Pohang, Korea"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,2,C. Lee,"1,2",False,"Korea Advanced Institute of Science and Technology, Daejeon, Korea | Pohang University of Science and Technology, Pohang, Korea"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,3,S. Kwon,1,False,"Korea Advanced Institute of Science and Technology, Daejeon, Korea"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,4,J. Chang,3,False,"University of Michigan, Ann Arbor, MI"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,5,Z. Zhang,3,False,"University of Michigan, Ann Arbor, MI"
SESSION 2,2.4,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,6,Y. Lee,1,False,"Korea Advanced Institute of Science and Technology, Daejeon, Korea"
SESSION 2,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",1,C-H. Lu,1,False,"University of Michigan, Ann Arbor, MI"
SESSION 2,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",2,W. Tang,1,False,"University of Michigan, Ann Arbor, MI"
SESSION 2,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",3,J. Kim,2,False,"Pohang University of Science and Technology, Pohang, Korea"
SESSION 2,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",4,Y. Lee,3,False,"Korea Advanced Institute of Science and Technology, Daejeon, Korea"
SESSION 2,2.5,"A 1.1mm2, 14.4ns, 13.1pJ/b Forward Error Correction with Ordered-Statistics Post Processing for Ultra-Reliable and Low-Latency Communications",5,Z. Zhang,1,False,"University of Michigan, Ann Arbor, MI"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,1,M. Cohen,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,2,M. Kar,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,3,S. Venkataramani,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,4,V. Srinivasan,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,5,B. Veraa,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,6,M. Ziegler,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,7,N. Cao,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,8,A. Ranjan,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,9,J. Silberman,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,10,M. Guillorn,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,11,S. Woodward,3,False,"IBM Infrastructure, Rochester, MN"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,12,J. Lancaster,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,13,J. Hursey,4,False,"IBM Research, Rochester, MN"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,14,K-H. Kim,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,15,A. Mannari,5,False,"IBM Research, Zurich, Switzerland"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,16,A. Nagarajan,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,17,A. Samajdar,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,18,B. Hekmatshoartabari,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,19,B. Galbraith,3,False,"IBM Infrastructure, Rochester, MN"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,20,C. Zhou,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,21,D. Satterfield,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,22,G. Still,6,False,"IBM Infrastructure, Research Triangle Park, NC"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,23,G. Tellez,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,24,I. Nair,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,25,I. Masilamanai,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,26,J. Jung,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,27,K. Randhawa,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,28,M. Schaal,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,29,M. Lutz,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,30,P. Crumley,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,31,P. Jacob,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,32,P. Chatarasi,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,33,R. Jain,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,34,S. Lee,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,35,S. Sen,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,36,S. Krithivasan,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,37,S. Rider,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,38,S. Jain,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,39,S. Koswatta,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,40,T. Roewer,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,41,T. Gooding,3,False,"IBM Infrastructure, Rochester, MN"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,42,V. Ferrari,7,False,"IBM Research, Sao Paulo, Brazil"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,43,V. Zalani,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,44,Z. Ren,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,45,K. Reick,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,46,L. Maurice,8,False,"IBM Research, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,47,C. Gonzalez,9,False,"IBM Infrastructure, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,48,C. Catalino,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,49,R. Nett,2,False,"IBM Infrastructure, Austin, TX"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,50,P-F. Lu,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,51,R. Senger,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.6,Spyre: An Inference-Optimized Scalable AI Accelerator for Enterprise Workloads,52,L. Chang,1,False,"IBM Research, Yorktown Heights, NY"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,1,P-Y. Lu,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,2,P-W. Chen,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,3,S-H. Yeh,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,4,Z-J. Zhang,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,5,Y-T. Chen,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,6,T-Y. Wang,,False,"National Tsing Hua University, Hsinchu, Taiwan"
SESSION 2,2.7,Tiamat: A 98-to-134ms/Step Transformer-Based Diffusion Model D S 2 Processor Supporting Classifier-Free Guidance for Image Generation,7,C-T. Huang,,False,"National Tsing Hua University, Hsinchu, Taiwan"
